Country Name,Country Code,Series Name,Series Code,1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Brazil,BRA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..,..,..,..,14546000000,14950000000,14816000000,16705000000,21760000000,27826000000,27229000000,24792000000,19560000000,17612000000,16958000000,18433000000,19368000000,19907000000,24180000000,28184000000,28251000000,27984000000,34856000000,43495000000,63293000000,66018000000,75139000000,74415000000,62807000000,71576500702.0768,71626048627.3636,60778949499.4464,62707203451.3367,78995242018.1936,96610925191.4596,119498967176.935,157790361251.242,220247095195.331,174697463800,243660936841.03,302029366543.06,303848045030.47,325571419168.28,318799145127.77,243145561020.6,203163012495.79,221543309809.41,..
Brazil,BRA,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,..,..,..,..,..,..,9552000000,10979000000,13130000000,13823000000,16719000000,21869000000,25541000000,21982000000,23622000000,28949000000,27720000000,24164000000,28162000000,36052000000,37507000000,35170000000,34938000000,39881000000,43595000000,49010000000,52641000000,52506000000,59178000000,58767000000,54563000000,63716723040.9693,66517202823.9496,68943055575.7244,82570023303.5733,107984756804.627,133005199276.194,156303207937.529,184603323407.868,228392969446.029,180723090100,231995637790.95,292487960972.715,281099514398.14,279587813724.59,264063098515.125,223884769813.385,217753196279.63,251721061711.34,..
Brazil,BRA,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,..,..,..,..,..,..,-2017000000,-2587000000,-3426000000,-4226000000,-5454000000,-7018000000,-10262000000,-13494000000,-11007000000,-11466000000,-11190000000,-11122000000,-10314000000,-12080000000,-12546000000,-11608000000,-9651000000,-7997000000,-10322000000,-9091000000,-11105000000,-12177000000,-16344000000,-19617000000,-18844000000,-17885817000,-19743207196.8929,-18190550427.2345,-18552120359.8047,-20520130064.6948,-25967387037.777,-27488974808.0038,-29291166631.0819,-40561764394.8522,-33668750800,-70244845450.06,-69730794887.11,-63889161578.21,-37491643188.2,-49420041167.73,-37962672363.54,-41543555594.03,-40044969909.65,..
China,CHN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,18900000000,20711000000,26748000000,40755000000,37172000000,38880000000,49972000000,52750000000,46706000000,54297000000,73819000000,98349000000,111570000000,135282400000,154127000000,97709000000,97527000000,119243000000,161165850000,180488000000,210243368881.429,410155077194.32,553600330539.767,648712207879.776,782812463259.899,949016596646.332,1146484468067.72,1029593130340,1380920299730.48,1826948709574.79,1943247135628.37,2120215176193.99,2241602783713.84,2002281688027.83,1942185380887.41,2212182564781.26,..
China,CHN,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,23637000000,23186000000,26716000000,28163000000,29583000000,39171000000,45912000000,47823000000,57374000000,65898000000,78817000000,86852000000,119181000000,147239990000,171678000000,140533000000,141364000000,149884000000,190039384000,208572000000,247626456545.448,445976206260.613,604774713079.717,773339005396.985,991731387760.491,1257052625429.69,1495317001221.66,1249723531706.78,1603944171443.28,2008852448487.47,2175092012376.37,2355594737798.11,2462902030661.11,2360152452309.1,2197922469129.56,2422911001954.39,..
China,CHN,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,451000000,1254000000,1620000000,932000000,176000000,-215000000,-161000000,229000000,1055000000,840000000,248000000,-1284000000,-1038000000,-11773840000,-12437000000,-11005000000,-16644000000,-14470000000,-14666461000,-19175000000,-14945534754.3729,-10218488499.0169,-5131610464.6017,-16113803102.6241,-5143384935.88258,8044362156.87558,28580030495.064,-8532580532.33006,-25899339085.6492,-70317566923.6075,-19886831333.6923,-78442129019.7737,13301214308.9048,-41056990197.4089,-44013402100.4205,-34444286883.3085,..
India,IND,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..,..,..,..,6006734062.18488,5763690293.07915,6603141915.54137,8957077742.21229,11938309152.4636,16927945724.1528,17397435384.721,17517737340.5087,17572596377.4069,17857801537.7852,18984136045.6211,19631790603.5359,22290070406.5336,25412608224.0404,28127927456.0753,29526607272.4647,27031902767.4675,29665639165.5541,30604948801.5936,37872390417.4142,48225107456.5025,54959987567.5137,58172791087.9908,59367859754.3617,62827495215.8222,73075192253.4588,71311160936.1966,75741490127.6454,92959121913.9984,130980013020.093,181858367950.56,225086027161.736,278785752272.433,379479380179.347,328257176213.271,439059034248.05,553062186679.575,579908579784.452,560408478123.575,553552854081.367,491880074570.799,472012694192.71,561612525785.533,..
India,IND,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,..,..,..,..,..,..,5506716461.9692,6466191483.17676,7565571017.55048,8124589101.05027,9679969986.92073,11274397263.3685,11234710725.9819,12159028818.9729,13059989650.5483,13423608500.9944,12849204785.9406,13476274302.0899,15247435579.9095,17301077321.6336,20283679802.9595,22911050152.3697,23020341172.3229,24953469070.621,27122896193.4142,31560671994.8993,38013243235.1157,40975672886.2795,44812659333.5248,45766843440.0458,51386266375.4722,59931697987.5545,62130222527.4738,70619282935.6584,84795030552.851,116019759652.382,154582031679.649,193316062904.371,240082039833.715,305119336663.061,260847157421.868,348035371769.33,446375404070.601,443845180758.278,468273426431.433,485583046457.597,428630903175.949,430433487927.696,489400913160.193,..
India,IND,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,..,..,..,..,..,..,-257640448.817558,-159678817.15308,-149175589.561351,-102199480.644805,263619215.870614,534720867.280825,458835324.569007,-82217500.1448911,-501868995.042478,-678949494.654071,-818214290.01151,-1063485270.84784,-1155748292.80657,-1783545622.40229,-2051541632.14751,-3257026299.42841,-4003231736.96009,-3911768312.28756,-3745916367.91708,-3549241504.24255,-3733620330.63823,-3255604409.09212,-3518006703.79963,-3636497421.78381,-3709782917.20569,-4892212950.86802,-4141838242.95872,-3909106938.85267,-4894896784.91885,-4052167100.76616,-6649958331.65172,-6245325788.4613,-6515811030.9006,-5364336273.50516,-7538933228.60792,-15601985068.1297,-16043262741.6127,-20842871438.366,-21802411390.77,-24944592949.807,-23360376799.6178,-27361150830.0874,-26423108357.8149,..
Russian Federation,RUS,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63537410000,81090170000,86317240000,91812490000,74049700000,50781800000,58470780000,72112560000,82377600000,100801350000,128497480000,164309890000,209460370000,283661440000,366228060000,247320870000,320958410000,410050100000,444697740000,469651090000,428897620000,281789010000,266061410000,326949750000,..
