Country Name,Country Code,Series Name,Series Code,1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Brazil,BRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,995723813700.377,1044422428490.15,1063242856404.47,1139322423253.64,1225639893149.92,1306465043556,1359682443004.57,1429902597514.2,1450307641175.09,1479392406513.22,1579448418064.1,1637895459047.91,1713819462522.65,1767935609153.08,1921181483426.74,2046496359825.36,2192943193313.4,2387956076249.05,2558831913619.23,2575020806522.1,2802691816228.65,2974955344832.28,3090260509155.61,3238978804361.28,3316888326305.85,3233490351077.73,3160799297551.54,3255144636626.31,..
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,969254664785.584,1021017082292.19,1043185920799.89,1111585961954.6,1179539965160.05,1287026434145.76,1323054129498.7,1384278532970.66,1386186120373.65,1402114011072,1533963215350.27,1584715896109.24,1656323620343.88,1711831236909.84,1864422674314.14,1987338375588.28,2138067447391.04,2337233880048.76,2496088396468.99,2518042086425.63,2720411419914.71,2897464128685.16,3024655982358.22,3199962924822.61,3251232492424.82,3163684381556.73,3094875622106.33,3194804286353.43,..
China,CHN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1119671186836.83,1264466432380.71,1477146889357.63,1722010329604.37,1988199700211.41,2251899984572.12,2520668157894.77,2800468822407.2,3052733046251.84,3337099564362.22,3702854161330.11,4103090844008.31,4546468269139.12,5102491102540.88,5772906136346.41,6637692615572.51,7711838680362.72,9043786548889.79,10111431008499.5,11145894444948.9,12481996760122.4,13957938676634.1,15343232497399.3,16823655744949.2,18392901123898.5,19872302288344.2,21435616464526.9,23350230198209.6,..
China,CHN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1122664992330.72,1267035844431.25,1477889750787.38,1718438986367.23,1984549718208.33,2215803192250.09,2484373316774.75,2768422952926.51,3003358251904.19,3292959808987.32,3658024425430.58,4044356394270.69,4500262671907.65,5071087064372.77,5757755728023.56,6590918280499.75,7697429124896.49,9064257914642.07,10174245785121,11127284163791.8,12428653114694.9,13828218549059.2,15307713054021.5,16687368910670.5,18416237268488.3,19797246732918.7,21365130655137.9,23290784798906.9,..
India,IND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1075387119684.62,1122924836200.52,1211489026351.12,1299238037788.21,1415243983962.43,1554194731348.71,1702043663546.84,1801283656694.99,1933440033848.32,2136672538550.04,2269229854118.65,2432904877766.78,2564220813305.09,2820929527539.05,3128143518654.25,3484627197883.26,3881200165508.73,4289736880496.95,4508893567889.79,4900311655740.21,5381655622294.95,5782035485242.57,6214466594568.71,6727353168495.53,7362570269415.94,8036326166086.36,8787915193331.44,9596834735263.64,..
India,IND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1061303339135.02,1105838336877.61,1192955310147.39,1281321450080.12,1397225128276.38,1536811633800.69,1686080170815.52,1785891147548.83,1917111094882.23,2120089713833.85,2245122771546.45,2411817011472.29,2547051348619.92,2800010932465.54,3106177128701.82,3459571748552.65,3850883114057.12,4271774611842.21,4481972601087.34,4871062529362,5323988621683.37,5731191285361.23,6141496013915.16,6643581773378.41,7275510087191.24,7938516848599.82,8624882171660.11,9311805791755.56,..
Russian Federation,RUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1188578475445.01,1166156959784.51,1019422154035.65,953205321946.47,851125379994.349,832874933680.043,817526684921.467,843109809492.514,807029157570.942,870676186417.134,1000581025238.43,1074585972513.87,1167897269467.94,1338656016324.46,1473342751156.52,1696729209940.37,2133189651012.86,2377454045297.29,2878201315080.72,2768599517936.38,2927003701118.29,3475384986432.9,3692393232080.38,3765660737974.51,3768772374042.93,3522975776568.05,3530624414454.48,3783138863627.66,..
Russian Federation,RUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1186201502998.69,1162964933440.53,1009453996463.34,943435769931.93,847161512603.556,825774532786.837,806188098250.186,825014123129.648,771913154282.21,836383725949.028,974629347999.371,1059732532867.18,1145642785078.87,1297685806670.6,1441505984835.48,1655585941894.52,2071121854636.68,2324721058626.26,2797649362802.82,2678612246973.08,2836588819385.99,3373184617514.54,3579360949693.82,3635166063636.87,3644656165134.98,3425456194847.19,3432861576786.05,3688419892765.33,..
South Africa,ZAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,235424408574.346,240783613633.241,241009416656.885,249787293065.328,263266400394.12,277088749780.437,294279477604.783,307098306047.018,311983267809.006,324359786923.122,345673777285.019,363097207035.495,382313445633.449,401436541287.24,431261314903.06,468627913339.639,510093179055.419,551739596791.121,580514224210.05,575926215058.686,600680709873.459,633367869304.543,659802391713.688,688066629927.574,714033009096.844,730902522268.527,743072487618.184,767166964845.176,..
South Africa,ZAF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,226729396952.891,234550938113.724,235732901802.851,244835758150.252,258704374537.337,271964865917.205,288074953242.06,300614936629.18,304819995858.283,316743430727.361,337628837844.695,351929513358.933,373079617911.775,390878350205.145,423127466507.057,459644173067.114,500449550534.351,533740270138.683,562411924560.983,563028445405.146,587871617133.161,617169274162.823,641889815769.458,670031395315.136,694979446759.603,712795905792.463,722495105158.833,744150267761.297,..
