Country Name,Country Code,Series Name,Series Code,1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Brazil,BRA,GNI (current US$),NY.GNP.MKTP.CD,36783720975.7678,41728566935.8317,48684157318.5706,58075347258.143,78380807935.1819,104325590448.038,122016649140.94,150357935666.393,173253413561.693,196080790936.193,218945212519.056,227299903221.934,252659071917.96,267229261490.029,191446471082.959,197144720543.593,211063860366.741,256173867061.639,282955492984.36,317177371865.753,448509000000,449671800000,589350000000,393042375000,427140503105.59,537119760675.739,757859058515.855,827516902795.742,855019274582.56,825536162860.836,568078572215.793,636545739181.979,541210449588.776,490921176355.553,540601974265.726,649542563670.694,865855861186.181,1079922933642.92,1367409102906.51,1654242312288.58,1630132837495.64,2144024404203.6,2548055129428.81,2412854078036.47,2443020143656.22,2407378690436.52,1763307400785.06,1758811154235.07,2015527556500.55,..
China,CHN,GNI (current US$),NY.GNP.MKTP.CD,79705906247.4612,92602973434.0726,99800958648.1436,113687586299.051,138544284708.957,144182133387.722,163431551779.761,153940455341.506,174938098826.569,149540752829.268,178280594413.043,191149211575,195783049099.206,205361295278.626,231563322095.785,261221374528.571,310328084153.061,300735081440.58,272793546177.13,312230327072.016,347942587323.887,361822783694.073,384152337595.819,427130409854.003,443808937181.006,563288670005.917,722773475238.004,851309717503.789,950600282951.338,1012399391554.64,1079526985271.13,1196681328408.87,1320222692110.76,1455604866961.46,1650069477164.43,1950215394499.08,2269857202066.07,2746989420528.26,3560222972821.56,4626771315064.69,5101421528333.87,6074548591678.36,7502177209456.01,8540729725675.27,9529397270215.31,10495671705798.1,11022876224212,11154193694032.7,12206545540628.5,..
India,IND,GNI (current US$),NY.GNP.MKTP.CD,58086663082.2625,62043817881.7129,66959944696.1393,71072540222.7982,85101943385.8111,99161038665.939,98178116954.5589,102456490956.6,121215208593.347,137110198425.668,153181098294.157,186762456785.768,193535410505.56,200056674628.664,217346849186.474,210960271747.963,231344151698.675,247574354908.363,277014081960.032,293483321747.952,292602881563.843,316775340199.134,265995407318.76,283799339658.79,275444516963.742,323108725644.378,356252339855.503,389212076370.344,412314049034.727,417792948093.169,455259499536.212,463418971411.52,481233333719.516,511490048637.269,603192907506.597,704168762435.513,814482897257.056,932915280831.832,1211640632179.77,1191737328671.82,1333877206035.79,1657660297351.75,1807018978955.17,1806177643078.09,1833601556952.76,2015015376660.84,2077985258105.81,2247940078566.32,2571997977572.34,..
Russian Federation,RUS,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,556478405315.615,506588568405.987,515780725699.661,516545185185.185,455789723970.944,430624472095.383,393237344330.164,392165163750.138,386291910137.35,396237954191.876,259165486862.442,188191128350.934,252974142196.943,302364070620.5,338887494417.863,417176770733.155,578245690742.937,745490780703.391,961127286414.611,1270877713696.29,1614364434381.11,1182904904366.55,1477812904649.91,1991328679252.17,2142596146945.85,2217523689057.69,1995700485171.89,1325956505459.79,1247146709770.84,1538898161937.56,..
South Africa,ZAF,GNI (current US$),NY.GNP.MKTP.CD,16180876382.4723,17754444911.1018,19678411633.1096,20655652400.1561,28368876080.6916,35557027225.9014,36576064908.7221,35100045998.1601,38912143514.2594,44784958601.6559,55307600950.1188,79658448895.737,85875463128.959,79398854035.1559,85376971465.0378,84479359211.337,66197308945.6533,78525890053.7491,103635118232.176,114387509570.163,124516849471.438,111285509991.11,120735160974.903,131599579242.637,131647336046.761,137330742367.917,152585536654.628,144495848161.329,149364800347.222,134611001573.721,133423684425.894,133188276319.202,117860771117.388,112952503209.243,170647481063.36,224619451464.364,252731774026.219,266502990474.784,289647713401.652,277827434271.05,289309038554.587,367345380538.709,405768822905.62,385568209500.609,357032967032.967,341279681553.899,309670504510.577,287556697666.83,338404730834.421,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
