Date	Price				Country Name	Country Code	Series Name	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
17-Dec	0.3019	0.312758333			Brazil	BRA	BRL to USD	242.14788	175.8673917	11.21394167	8.89572	0.992416667	0.925866667	0.859625	0.540416667	0.546041667	0.428416667	0.346708333	0.328966667	0.343608333	0.416691667	0.46185	0.519775	0.556083333	0.508316667	0.569158333	0.599966667	0.511533333	0.460208333	0.424591667	0-Jan	0.291441667	0.312758333	0
17-Nov	0.3056																																	
17-Oct	0.3055																																	
17-Sep	0.3162																																	
17-Aug	0.3176																																	
17-Jul	0.3199							242.1479	175.8674	11.21394	8.89572	0.992417	0.925867	0.859625	0.540417																			
17-Jun	0.3024																																	
17-May	0.31																																	
17-Apr	0.3148																																	
17-Mar	0.3202																																	
17-Feb	0.3216																																	
17-Jan	0.3174																																	
16-Dec	0.3073	0.291441667																																
16-Nov	0.2955																																	
16-Oct	0.3135																																	
16-Sep	0.3068																																	
16-Aug	0.3099																																	
16-Jul	0.3079																																	
16-Jun	0.3112																																	
16-May	0.2769																																	
16-Apr	0.291																																	
16-Mar	0.2783																																	
16-Feb	0.2489																																	
16-Jan	0.2501																																	
15-Dec	0.2525	0.299875																																
15-Nov	0.2585																																	
15-Oct	0.2593																																	
15-Sep	0.2532																																	
15-Aug	0.2762																																	
15-Jul	0.2923																																	
15-Jun	0.3223																																	
15-May	0.3145																																	
15-Apr	0.3317																																	
15-Mar	0.3129																																	
15-Feb	0.3523																																	
15-Jan	0.3728																																	
14-Dec	0.3763	0.424591667																																
14-Nov	0.3897																																	
14-Oct	0.4035																																	
14-Sep	0.4088																																	
14-Aug	0.4472																																	
14-Jul	0.4417																																	
14-Jun	0.4516																																	
14-May	0.4462																																	
14-Apr	0.4478																																	
14-Mar	0.4402																																	
14-Feb	0.4276																																	
14-Jan	0.4145																																	
13-Dec	0.4234	0.460208333																																
13-Nov	0.4281																																	
13-Oct	0.4464																																	
13-Sep	0.4512																																	
13-Aug	0.419																																	
13-Jul	0.4391																																	
13-Jun	0.448																																	
13-May	0.4668																																	
13-Apr	0.4996																																	
13-Mar	0.494																																	
13-Feb	0.505																																	
13-Jan	0.5019																																	
12-Dec	0.4882	0.511533333																																
12-Nov	0.4681																																	
12-Oct	0.4924																																	
12-Sep	0.4936																																	
12-Aug	0.4922																																	
12-Jul	0.4863																																	
12-Jun	0.4971																																	
12-May	0.4944																																	
12-Apr	0.5239																																	
12-Mar	0.5475																																	
12-Feb	0.5823																																	
12-Jan	0.5724																																	
11-Dec	0.5367	0.599966667																																
11-Nov	0.5531																																	
11-Oct	0.5824																																	
11-Sep	0.5322																																	
11-Aug	0.6292																																	
11-Jul	0.6456																																	
11-Jun	0.6401																																	
11-May	0.6329																																	
11-Apr	0.6339																																	
11-Mar	0.6128																																	
11-Feb	0.601																																	
11-Jan	0.5997																																	
10-Dec	0.6026	0.569158333																																
10-Nov	0.5831																																	
10-Oct	0.5878																																	
10-Sep	0.5926																																	
10-Aug	0.5698																																	
10-Jul	0.5701																																	
10-Jun	0.5544																																	
10-May	0.5494																																	
10-Apr	0.5756																																	
10-Mar	0.5606																																	
10-Feb	0.5534																																	
10-Jan	0.5305																																	
9-Dec	0.5737	0.508316667																																
9-Nov	0.5696																																	
9-Oct	0.5671																																	
9-Sep	0.5645																																	
9-Aug	0.5319																																	
9-Jul	0.5362																																	
9-Jun	0.5121																																	
9-May	0.5072																																	
9-Apr	0.4567																																	
9-Mar	0.4316																																	
9-Feb	0.4182																																	
9-Jan	0.431																																	
8-Dec	0.432	0.556083333																																
8-Nov	0.4341																																	
8-Oct	0.4621																																	
8-Sep	0.5244																																	
8-Aug	0.6135																																	
8-Jul	0.6381																																	
8-Jun	0.6234																																	
8-May	0.6148																																	
8-Apr	0.6016																																	
