"Date","Price","Open","High","Low","Change %"
"Dec 17","0.01566","0.01550","0.01565","0.01549","1.26%"
"Nov 17","0.01547","0.01546","0.01555","0.01525","0.04%"
"Oct 17","0.01546","0.01531","0.01545","0.01524","1.14%"
"Sep 17","0.01529","0.01564","0.01565","0.01519","-2.28%"
"Aug 17","0.01564","0.01558","0.01565","0.01552","0.43%"
"Jul 17","0.01558","0.01548","0.01555","0.01545","0.82%"
"Jun 17","0.01545","0.01550","0.01561","0.01545","-0.10%"
"May 17","0.01547","0.01556","0.01556","0.01535","-0.58%"
"Apr 17","0.01556","0.01543","0.01555","0.01535","1.34%"
"Mar 17","0.01535","0.01499","0.01535","0.01495","2.67%"
"Feb 17","0.01495","0.01481","0.01495","0.01471","1.02%"
"Jan 17","0.01480","0.01472","0.01485","0.00000","0.36%"
"Dec 16","0.01475","0.01458","0.01486","0.01458","1.34%"
"Nov 16","0.01455","0.01500","0.01506","0.01455","-2.69%"
"Oct 16","0.01495","0.01502","0.01505","0.01495","0.00%"
"Sep 16","0.01496","0.01493","0.01505","0.01493","0.06%"
"Aug 16","0.01495","0.01500","0.01500","0.01480","-0.34%"
"Jul 16","0.01500","0.01480","0.01500","0.01480","1.35%"
"Jun 16","0.01480","0.01490","0.01500","0.01460","-0.67%"
"May 16","0.01490","0.01510","0.01510","0.01470","-1.32%"
"Apr 16","0.01510","0.01510","0.01520","0.01490","0.00%"
"Mar 16","0.01510","0.01470","0.01510","0.01460","2.72%"
"Feb 16","0.01470","0.01470","0.35170","0.01450","0.00%"
"Jan 16","0.01470","0.01510","0.01510","0.01470","-2.65%"
"Dec 15","0.01510","0.01500","0.01520","0.01490","0.67%"
"Nov 15","0.01500","0.01530","0.01530","0.01490","-1.96%"
"Oct 15","0.01530","0.01530","0.01550","0.01520","0.00%"
"Sep 15","0.01530","0.01510","0.01530","0.01490","1.32%"
"Aug 15","0.01510","0.01560","0.01570","0.00120","-3.21%"
"Jul 15","0.01560","0.01570","0.01580","0.01550","-0.64%"
"Jun 15","0.01570","0.01570","0.01580","0.01550","0.00%"
"May 15","0.01570","0.01570","0.01580","0.01550","0.00%"
"Apr 15","0.01570","0.01600","0.01610","0.01570","-1.88%"
"Mar 15","0.01600","0.01620","0.01620","0.01600","-1.23%"
"Feb 15","0.01620","0.01610","0.01630","0.01600","0.62%"
"Jan 15","0.01610","0.01590","0.01630","0.01570","1.26%"
"Dec 14","0.01590","0.01610","0.01830","0.01560","-1.24%"
"Nov 14","0.01610","0.01630","0.01630","0.01600","-1.23%"
"Oct 14","0.01630","0.01620","0.01640","0.01600","0.62%"
