"Date","Price","Open","High","Low","Change %"
"Dec 17","0.01730","0.01710","0.01740","0.01680","1.17%"
"Nov 17","0.01710","0.01710","0.01720","0.01650","0.00%"
"Oct 17","0.01710","0.01740","0.01760","0.01700","-1.72%"
"Sep 17","0.01740","0.01720","0.01760","0.01710","1.16%"
"Aug 17","0.01720","0.01670","0.01720","0.01640","2.99%"
"Jul 17","0.01670","0.01700","0.01700","0.01640","-1.76%"
"Jun 17","0.01700","0.01770","0.01780","0.01650","-3.95%"
"May 17","0.01770","0.01760","0.01790","0.01700","1.14%"
"Apr 17","0.01750","0.01780","0.01810","0.01740","-1.69%"
"Mar 17","0.01780","0.01710","0.01790","0.01680","4.09%"
"Feb 17","0.01710","0.01660","0.01770","0.01650","3.01%"
"Jan 17","0.01660","0.01630","0.01700","0.01620","1.84%"
"Dec 16","0.01630","0.01560","0.01660","0.01550","4.49%"
"Nov 16","0.01560","0.01580","0.01590","0.01500","-1.27%"
"Oct 16","0.01580","0.01590","0.01620","0.01570","-0.63%"
"Sep 16","0.01590","0.01530","0.01600","0.01510","3.92%"
"Aug 16","0.01530","0.01520","0.01580","0.01490","0.66%"
"Jul 16","0.01520","0.01560","0.01590","0.01490","-2.56%"
"Jun 16","0.01560","0.01500","0.01590","0.01480","4.00%"
"May 16","0.01500","0.01540","0.01550","0.01480","-3.23%"
"Apr 16","0.01550","0.01500","0.01560","0.01440","4.03%"
"Mar 16","0.01490","0.01330","0.01500","0.01330","12.03%"
"Feb 16","0.01330","0.01320","0.01340","0.01240","0.76%"
"Jan 16","0.01320","0.01370","0.01380","0.01160","-3.65%"
"Dec 15","0.01370","0.01510","0.01510","0.01340","-9.27%"
"Nov 15","0.01510","0.01560","0.01600","0.01490","-3.21%"
"Oct 15","0.01560","0.01530","0.01650","0.01500","1.96%"
"Sep 15","0.01530","0.01570","0.01570","0.01440","-2.55%"
"Aug 15","0.01570","0.01620","0.01620","0.01390","-3.09%"
"Jul 15","0.01620","0.01810","0.01810","0.01620","-10.50%"
"Jun 15","0.01810","0.01910","0.01910","0.01750","-5.24%"
"May 15","0.01910","0.01930","0.02050","0.01880","-1.04%"
"Apr 15","0.01930","0.01710","0.02020","0.01710","12.21%"
"Mar 15","0.01720","0.01620","0.01780","0.01580","5.52%"
"Feb 15","0.01630","0.01440","0.01680","0.01410","12.41%"
"Jan 15","0.01450","0.01720","0.01730","0.01390","-15.70%"
"Dec 14","0.01720","0.01960","0.01980","0.01250","-13.13%"
"Nov 14","0.01980","0.02320","0.02330","0.01980","-14.66%"
"Oct 14","0.02320","0.02530","0.02550","0.02290","-8.30%"
"Sep 14","0.02530","0.02700","0.02730","0.02510","-6.30%"
"Aug 14","0.02700","0.02800","0.02810","0.02690","-3.57%"
"Jul 14","0.02800","0.02940","0.02960","0.02780","-4.76%"
"Jun 14","0.02940","0.02860","0.02980","0.02840","2.80%"
"May 14","0.02860","0.02810","0.02940","0.02780","1.78%"
"Apr 14","0.02810","0.02850","0.02860","0.02750","-1.40%"
"Mar 14","0.02850","0.02730","0.02850","0.02720","2.89%"
"Feb 14","0.02770","0.02840","0.02890","0.02760","-2.46%"
"Jan 14","0.02840","0.03040","0.03040","0.02820","-6.58%"
"Dec 13","0.03040","0.03020","0.03080","0.03000","0.66%"
"Nov 13","0.03020","0.03110","0.03120","0.03010","-3.21%"
"Oct 13","0.03120","0.03090","0.03160","0.03080","0.97%"
"Sep 13","0.03090","0.03000","0.03170","0.02980","2.66%"
"Aug 13","0.03010","0.03040","0.03060","0.03000","-0.66%"
"Jul 13","0.03030","0.03040","0.03100","0.03000","-0.66%"
"Jun 13","0.03050","0.03130","0.03170","0.03020","-2.56%"
"May 13","0.03130","0.03210","0.03230","0.03120","-2.49%"
"Apr 13","0.03210","0.03220","0.03250","0.03130","0.00%"
"Mar 13","0.03210","0.03260","0.03280","0.03210","-1.53%"
"Feb 13","0.03260","0.03330","0.03360","0.03260","-2.10%"
"Jan 13","0.03330","0.03270","0.03350","0.03270","1.52%"
"Dec 12","0.03280","0.03240","0.03310","0.03220","1.23%"
"Nov 12","0.03240","0.03190","0.03250","0.03140","1.57%"
"Oct 12","0.03190","0.03200","0.03260","0.03170","-0.31%"
"Sep 12","0.03200","0.03100","0.03290","0.03080","3.56%"
"Aug 12","0.03090","0.03100","0.03190","0.03060","-0.64%"
"Jul 12","0.03110","0.03080","0.03140","0.03020","0.65%"
"Jun 12","0.03090","0.02990","0.03120","0.02930","3.34%"
"May 12","0.02990","0.03400","0.03410","0.02970","-12.06%"
"Apr 12","0.03400","0.03400","0.03430","0.03350","0.00%"
"Mar 12","0.03400","0.03440","0.03480","0.03360","-0.87%"
"Feb 12","0.03430","0.03300","0.03480","0.03280","3.94%"
"Jan 12","0.03300","0.03110","0.03340","0.03100","6.11%"
"Dec 11","0.03110","0.03250","0.03260","0.03090","-4.31%"
"Nov 11","0.03250","0.03310","0.03340","0.03150","-1.52%"
"Oct 11","0.03300","0.03110","0.03380","0.03040","6.11%"
"Sep 11","0.03110","0.03460","0.03480","0.03070","-10.37%"
"Aug 11","0.03470","0.03620","0.03650","0.03310","-4.14%"
"Jul 11","0.03620","0.03590","0.03650","0.03510","1.12%"
"Jun 11","0.03580","0.03570","0.03630","0.03520","0.00%"
"May 11","0.03580","0.03650","0.03680","0.03500","-1.92%"
"Apr 11","0.03650","0.03520","0.03680","0.03510","3.69%"
"Mar 11","0.03520","0.03460","0.03570","0.03450","1.44%"
"Feb 11","0.03470","0.03350","0.03480","0.03350","3.58%"
"Jan 11","0.03350","0.03270","0.03380","0.03250","2.13%"
"Dec 10","0.03280","0.03170","0.03310","0.03170","3.14%"
"Nov 10","0.03180","0.03250","0.03290","0.03170","-1.85%"
"Oct 10","0.03240","0.03270","0.03380","0.03230","-0.61%"
"Sep 10","0.03260","0.03240","0.03300","0.03190","0.62%"
"Aug 10","0.03240","0.03300","0.03380","0.03230","-1.82%"
"Jul 10","0.03300","0.03200","0.03340","0.03180","3.12%"
"Jun 10","0.03200","0.03240","0.03260","0.03130","-1.23%"
"May 10","0.03240","0.03430","0.03430","0.03160","-5.26%"
"Apr 10","0.03420","0.03400","0.03460","0.03390","0.59%"
"Mar 10","0.03400","0.03340","0.03430","0.03330","1.49%"
"Feb 10","0.03350","0.03290","0.03360","0.03270","1.52%"
"Jan 10","0.03300","0.03300","0.03410","0.03280","0.00%"
"Dec 09","0.03300","0.03420","0.03450","0.03230","-3.79%"
"Nov 09","0.03430","0.03430","0.03500","0.03340","0.00%"
"Oct 09","0.03430","0.03330","0.03480","0.03310","3.00%"
"Sep 09","0.03330","0.03140","0.03350","0.03110","6.05%"
"Aug 09","0.03140","0.03190","0.03240","0.03040","-1.57%"
"Jul 09","0.03190","0.03210","0.03280","0.03010","-0.31%"
"Jun 09","0.03200","0.03240","0.03290","0.03160","-1.23%"
"May 09","0.03240","0.03020","0.03260","0.03020","7.28%"
"Apr 09","0.03020","0.02940","0.03040","0.02920","2.72%"
"Mar 09","0.02940","0.02780","0.03020","0.02750","5.76%"
"Feb 09","0.02780","0.02790","0.02910","0.02730","-0.71%"
"Jan 09","0.02800","0.03270","0.03430","0.02790","-14.63%"
"Dec 08","0.03280","0.03580","0.03700","0.03260","-8.38%"
"Nov 08","0.03580","0.03700","0.03760","0.03570","-2.98%"
"Oct 08","0.03690","0.03900","0.03920","0.03630","-5.14%"
"Sep 08","0.03890","0.04060","0.04080","0.03860","-4.19%"
"Aug 08","0.04060","0.04270","0.04280","0.04040","-4.92%"
