"Date","Price","Open","High","Low","Change %"
"Dec 17","0.08080","0.07310","0.08180","0.07250","10.68%"
"Nov 17","0.07300","0.07080","0.07380","0.06860","3.11%"
"Oct 17","0.07080","0.07370","0.07540","0.06960","-4.00%"
"Sep 17","0.07375","0.07695","0.07855","0.07295","-4.10%"
"Aug 17","0.07690","0.07590","0.07730","0.07390","1.32%"
"Jul 17","0.07590","0.07640","0.07780","0.07330","-0.91%"
"Jun 17","0.07660","0.07620","0.07960","0.07600","0.46%"
"May 17","0.07625","0.07475","0.07915","0.07295","1.94%"
"Apr 17","0.07480","0.07440","0.07770","0.07160","0.40%"
"Mar 17","0.07450","0.07610","0.08120","0.07340","-2.23%"
"Feb 17","0.07620","0.07410","0.07830","0.07380","2.70%"
"Jan 17","0.07420","0.07280","0.07590","0.07150","1.92%"
"Dec 16","0.07280","0.07090","0.07430","0.07050","2.68%"
"Nov 16","0.07090","0.07410","0.07600","0.06820","-4.45%"
"Oct 16","0.07420","0.07260","0.07440","0.06890","1.92%"
"Sep 16","0.07280","0.06780","0.07480","0.06770","7.22%"
"Aug 16","0.06790","0.07210","0.07580","0.06780","-5.69%"
"Jul 16","0.07200","0.06800","0.07230","0.06680","5.88%"
"Jun 16","0.06800","0.06360","0.07000","0.06350","6.92%"
"May 16","0.06360","0.07030","0.07060","0.06250","-9.53%"
"Apr 16","0.07030","0.06770","0.07090","0.06530","3.84%"
"Mar 16","0.06770","0.06300","0.06830","0.06150","7.46%"
"Feb 16","0.06300","0.06310","0.06640","0.06080","0.16%"
"Jan 16","0.06290","0.06460","0.06480","0.05750","-2.63%"
"Dec 15","0.06460","0.06920","0.07020","0.06240","-6.65%"
"Nov 15","0.06920","0.07230","0.07290","0.06890","-4.29%"
"Oct 15","0.07230","0.07210","0.07690","0.07130","0.14%"
"Sep 15","0.07220","0.07530","0.07600","0.07060","-4.12%"
"Aug 15","0.07530","0.07880","0.07950","0.07310","-4.56%"
"Jul 15","0.07890","0.08220","0.08230","0.07820","-4.01%"
"Jun 15","0.08220","0.08210","0.08300","0.07910","-0.12%"
"May 15","0.08230","0.08390","0.08520","0.08190","-1.91%"
"Apr 15","0.08390","0.08240","0.08550","0.08120","1.82%"
"Mar 15","0.08240","0.08580","0.08580","0.07980","-3.85%"
"Feb 15","0.08570","0.08580","0.08880","0.08400","-0.23%"
"Jan 15","0.08590","0.08640","0.08800","0.08480","-0.58%"
"Dec 14","0.08640","0.09020","0.09120","0.08460","-4.21%"
"Nov 14","0.09020","0.09050","0.09170","0.08800","-0.44%"
"Oct 14","0.09060","0.08860","0.09240","0.08780","2.26%"
"Sep 14","0.08860","0.09370","0.09430","0.08810","-5.54%"
"Aug 14","0.09380","0.09340","0.09510","0.09230","0.43%"
"Jul 14","0.09340","0.09390","0.09560","0.09220","-0.64%"
"Jun 14","0.09400","0.09450","0.09500","0.09200","-0.63%"
"May 14","0.09460","0.09460","0.09740","0.09410","-0.42%"
