Country Name,Country Code,Series Name,Series Code,1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Brazil,BRA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,656773200,1189904670,1753865277.94277,4218805676.74583,6508867084.0128,5463238279.69263,4166486431.37877,6666854181.77382,7441920872.37625,12190033177.1808,9838705354.82902,6875231542.0342,7479607844.25765,3997356017.94856,4561475256.47813,11960814096.9956,11617955161.6872,8184181031.96702,8134599725.9388,9114472122.65344,9678276000,9997591007.59699,9391631540.11071,23750647504.125,32247610989.3312,38810777748.0989,51842389630.8018,60152476087.5694,52208520617.439,44487193726.1719,36342324457.263,33015297297.4936,35866445477.0233,37832147465.4028,49297286969.7161,52934865198.5543,53799284976.6775,85842861064.7557,180333622542.44,193783363534.518,238539463013.264,287588984359.637,352010241721.417,373160978076.306,358816426346.517,363570247226.591,356464978111.395,364984031618.166,373955518686.487,..
China,CHN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,10090779859.0455,10106339042.8511,17151500473.3587,19831702777.5854,21281443729.6592,16881047188.0492,16417429180.4582,22453016927.8895,23751513805.8296,23052566323.2318,34475661158.6121,48165019103.1198,24852636915.1072,27348104116.5518,57781337922.1788,80288427869.5104,111728900010.491,146448007911.914,152842955774.758,161414053682.112,171763112315.996,220056760323.983,297739488541.398,416199418829.351,622948558536.441,831409619695.566,1080755669937.96,1546364666967.14,1966037416145.19,2452899056407.32,2909907779493.96,3254674122432.29,3387512975176.91,3880368275098.62,3900039358441.22,3405253357702.25,3097658396171.59,3235681607213.04,..
India,IND,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,927764119.793592,1023173271.49678,1245821898.02245,1367601418.5857,1629325093.4044,2324650346.59874,2064427967.54988,3728750637.4451,6085439869.41109,8316115827.7223,11815414018.5725,12009788667.4367,8108837891.29932,8241561692.94602,8215732398.97451,8535944481.20133,9493102974.01812,10480102587.5579,11511740598.8136,9185839446.54079,8048455918.16027,5637446363.83184,7615987475.11471,9538786025.16565,14674627089.9414,24220928477.9427,22864636916.1009,24889364651.2555,28385372950.7765,30646563679.6474,36005296852.5354,41059064900.9764,49050838024.7059,71607866919.4939,103737210018.804,131631147565.246,137824828256.285,178049786750.298,276578101493.324,257422721844.77,284682885686.285,299463726003.627,298739485811.368,300425518088.107,298092483487.487,325081060905.9,353319058314.405,361694316000.029,412613792019.924,..
Russian Federation,RUS,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9817681551.19222,7206227228.32161,18023640709.9987,16257617319.1364,17624090271.3753,12042972907.6347,12325102381.5658,27656266705.1902,36302524247.7505,48325637174.6312,78409347974.9168,126257956307.217,182272103917.674,303773184152.172,478822287316.355,426278768850.425,439341751137.787,479222291459.012,497410247572.556,537816373774.557,509692081493.02,386216377124.802,368042945901.372,377052191856.084,432730507964.11,..
South Africa,ZAF,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1404632000,1056681100,777286708.504363,1772585939.93695,2580499567.19208,3780673386.48813,2978267497.01579,2132510126.08571,2019343736.22277,2635700791.12426,5569820236.37346,7888263456.5095,4358999340.92142,3944050948.78197,3794711938.28386,2510957151.89413,1897240193.32162,2254162463.93405,3462962833.44919,2203670970.54945,2194854121.48133,2582983157.87227,3186551430.11629,3207728532.39078,2879214919.10976,3294868535.37249,4463556727.10403,2341014432.69609,5957312964.46922,5508053238.55409,7496680874.65434,7702062643.74009,7626855510.94403,7816785683.45179,8154089525.64896,14886244705.7842,20624460695.2026,25593359404.2512,32919404770.5147,34070370009.4851,39602643636.2987,43819537259.8246,48748267721.6273,50688078607.1102,49708176470.6712,49121577905.7977,45887064632.0386,47180123831.0937,50722891363.2361,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
