Code,Indicator Name,Long definition,Source
TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports),"Agricultural raw materials comprise SITC section 2 (crude materials except fuels) excluding divisions 22, 27 (crude fertilizers and minerals excluding coal, petroleum, and precious stones), and 28 (metalliferous ores and scrap).",World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.
TM.VAL.SERV.CD.WT,Commercial service imports (current US$),"Commercial service imports are total service imports minus imports of government services not included elsewhere. International transactions in services are defined by the IMF's Balance of Payments Manual (1993) as the economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Definitions may vary among reporting economies.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
TM.VAL.OTHR.ZS.WT,"Computer, communications and other services (% of commercial service imports)","Computer, communications and other services (% of commercial service imports) include such activities as international telecommunications, and postal and courier services; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; and personal, cultural, and recreational services.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
TM.VAL.FOOD.ZS.UN,Food imports (% of merchandise imports),"Food comprises the commodities in SITC sections 0 (food and live animals), 1 (beverages and tobacco), and 4 (animal and vegetable oils and fats) and SITC division 22 (oil seeds, oil nuts, and oil kernels).",World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.
TM.VAL.FUEL.ZS.UN,Fuel imports (% of merchandise imports),"Fuels comprise the commodities in SITC section 3 (mineral fuels, lubricants and related materials).",World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.
TM.VAL.INSF.ZS.WT,Insurance and financial services (% of commercial service imports),"Insurance and financial services cover freight insurance on goods imported and other direct insurance such as life insurance; financial intermediation services such as commissions, foreign exchange transactions, and brokerage services; and auxiliary services such as financial market operational and regulatory services.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
TM.VAL.MANF.ZS.UN,Manufactures imports (% of merchandise imports),"Manufactures comprise the commodities in SITC sections 5 (chemicals), 6 (basic manufactures), 7 (machinery and transport equipment), and 8 (miscellaneous manufactured goods), excluding division 68 (nonferrous metals).",World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.
TM.VAL.MRCH.CD.WT,Merchandise imports (current US$),Merchandise imports show the c.i.f. value of goods received from the rest of the world valued in current U.S. dollars.,World Trade Organization.
TM.VAL.MRCH.WL.CD,Merchandise imports by the reporting economy (current US$),"Merchandise imports by the reporting economy are the total merchandise imports by the reporting economy from the rest of the world, as reported in the IMF's Direction of trade database. Data are in current U.S. dollars.",World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.
TM.VAL.MRCH.RS.ZS,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)","Merchandise imports by the reporting economy residuals are the total merchandise imports by the reporting economy from the rest of the world as reported in the IMF's Direction of trade database, less the sum of imports by the reporting economy from high-, low-, and middle-income economies according to the World Bank classification of economies. Includes trade with unspecified partners or with economies not covered by World Bank classification. Data are as a percentage of total merchandise imports by the economy.",World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.
TM.VAL.MRCH.AL.ZS,Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from economies in the Arab World are the sum of merchandise imports by the reporting economy from economies in the Arab World. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.
TM.VAL.MRCH.HI.ZS,Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from high-income economies are the sum of merchandise imports by the reporting economy from high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.
TM.VAL.MRCH.R1.ZS,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia and Pacific are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the East Asia and Pacific region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.
TM.VAL.MRCH.R2.ZS,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Europe and Central Asia are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Europe and Central Asia region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.
TM.VAL.MRCH.R3.ZS,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Latin America and the Caribbean are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Latin America and the Caribbean region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.
TM.VAL.MRCH.R4.ZS,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Middle East and North Africa are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Middle East and North Africa region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.
TM.VAL.MRCH.R5.ZS,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the South Asia region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.
TM.VAL.MRCH.R6.ZS,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Sub-Saharan Africa region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.
TM.VAL.MRCH.OR.ZS,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region are the sum of merchandise imports by the reporting economy from other low- and middle-income economies in other World Bank regions according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.
TM.VAL.MRCH.WR.ZS,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),"Merchandise imports from low- and middle-income economies within region are the sum of merchandise imports by the reporting economy from other low- and middle-income economies in the same World Bank region according to the World Bank classification of economies. Data are as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data. No figures are shown for high-income economies, because they are a separate category in the World Bank classification of economies.",World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.
TM.VAL.MMTL.ZS.UN,Ores and metals imports (% of merchandise imports),"Ores and metals comprise commodities in SITC sections 27 (crude fertilizer, minerals nes); 28 (metalliferous ores, scrap); and 68 (non-ferrous metals).",World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.
TM.VAL.TRAN.ZS.WT,Transport services (% of commercial service imports),"Transport services (% of commercial service imports) covers all transport services (sea, air, land, internal waterway, space, and pipeline) performed by residents of one economy for those of another and involving the carriage of passengers, movement of goods (freight), rental of carriers with crew, and related support and auxiliary services. Excluded are freight insurance, which is included in insurance services; goods procured in ports by nonresident carriers and repairs of transport equipment, which are included in goods; repairs of railway facilities, harbors, and airfield facilities, which are included in construction services; and rental of carriers without crew, which is included in other services.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
TM.VAL.TRVL.ZS.WT,Travel services (% of commercial service imports),"Travel services (% of commercial service imports) covers goods and services acquired from an economy by travelers in that economy for their own use during visits of less than one year for business or personal purposes. Travel services include the goods and services consumed by travelers, such as lodging, meals, and transport (within the economy visited).","International Monetary Fund, Balance of Payments Statistics Yearbook and data files."
